the,”the,added.the,2010.the,prices.the,may’s,reading.the,australia’s,india’s,washington’s,berlin’s,1.20779701718,1.44744497028,1.53922542275,1.62004296459,1.6780240979,1.68616258707,1.75060739537,1.77423020649,1.79327614154,1.80149014507
,•,.but,2016.,``,twitter.com/gisfeld,2015.,1.,observed,–,said.but,1.5928292312,1.65286910319,1.65830326378,1.707123811,1.78195524294,1.80518411487,1.85217474843,1.85690283464,1.86064598628,1.92153917758
to,“to,“should,he’ll,merely,hitting,facing,exceeds,towards,nearing,matching,2.23702485943,2.44717591569,2.84131847179,2.84544170708,2.8878996218,2.94646357409,2.95870114166,2.97893196209,2.98829698943,3.01080737108
of,promoting,<,towards,fired,fulfill,covering,removing,reviewing,delaying,delivers,2.75752132736,2.75925056901,2.77635149981,2.78099432631,2.79093442693,2.80103402953,2.80687587539,2.81153811831,2.82969600612,2.83644344924
in,“in,onto,exiting,said.“in,year.in,entering,visiting,said.in,affecting,exclude,2.60218813715,2.68559934131,2.86380472454,2.92002719948,2.97793100966,3.09120963155,3.16807126942,3.19936394885,3.21620830233,3.27243007338
a,said.a,“a,washington’s,harper’s,policymakers’,the,may’s,department’s,unusually,beijing’s,1.84759751486,2.23433001159,2.30305171204,2.47384136825,2.60810596163,2.63290587823,2.67053604742,2.67189051178,2.72149986345,2.74165617661
and,but,or,extensive,delivering,except,high-profile,accurate,lifetime,claiming,blunt,2.01678611414,2.02468027975,2.52519124004,2.59252000698,2.63104107029,2.65222351975,2.67026259305,2.72912821375,2.7321726456,2.75621520809
SENTENCE_START,twitter.com/gisfeld,2010.,2009.,2016.,.but,observed,2013.,2014.,evident,admitted,1.36006779481,1.45101261796,1.48474622387,1.52715667086,1.54159861236,1.56904641359,1.64346477876,1.64879255051,1.66675825474,1.67305669511
SENTENCE_END,.,nationalpost.comtwitter.com/gisfeld,said.bloomberg.com,bloomberg.com,?,>,!,telegraph,thomson,said.mr,60.5778639829,94.1265851754,95.2017596846,100.630096588,111.7240853,113.337847346,114.558248513,118.900839257,119.076198025,121.407879967
.,SENTENCE_END,nationalpost.comtwitter.com/gisfeld,said.bloomberg.com,bloomberg.com,?,thomson,!,>,telegraph,press,60.5778639829,61.9680378721,62.2017884356,68.8591254057,79.9244683906,80.3639082327,84.5698964773,85.4345012109,89.9636797537,94.7798625842
that,“that,said.that,rout,said.while,insists,replacement,feared,worst-case,elite,said.it,2.37004410159,2.78116349457,3.31596702991,3.34430290018,3.35410836225,3.35803392014,3.37296261305,3.40408321331,3.44322609586,3.47229411417
for,“for,marking,delaying,lasting,removing,discussing,performing,covering,covers,reveal,1.84873890236,2.47812623816,2.54268074814,2.75481250747,2.84199687465,2.84297131506,2.84818520789,2.86259911648,2.87312259307,2.88069235559
is,are,was,“is,been,“are,it’s,be,“that’s,said.“it’s,sounds,1.69958355788,1.90874485489,1.98943809384,2.2777581114,2.37076069752,2.38560962707,2.41541756009,2.42078014112,2.43463606429,2.46864989994
on,“on,onto,dated,studying,topping,discussing,5.9,1.25,off,underlined,2.34645459141,2.5004559033,2.67396293193,2.79340090583,2.85885506879,2.92170372594,3.17875588099,3.24070891986,3.24269350326,3.26392942582
said,says,admitted,suggestion,noted,signalled,say,writes,claimed,insists,explained,1.91843829165,2.571909921,2.81159922713,2.81445200364,2.82078624576,2.90779488178,2.92680511253,2.96275539877,2.97838228178,2.98568619333
as,“as,whenever,unusually,all-time,latter,experiencing,“while,.but,p’s,cleared,2.42553676993,3.55341435962,3.7352183667,3.75847312997,3.91044938248,3.94411504669,3.97774068484,4.07808562999,4.09499921246,4.12923858451
%,percent,cent,one-third,operational,month-on-month,12000,enforcement,barrel,nationwide,milk,1.60482642229,1.67128817867,1.86268251575,1.94641387315,1.99145235403,2.00318789629,2.03930347494,2.04771497776,2.07499818698,2.07916191069
at,“at,attending,nearing,near,exceed,exceeds,approaching,towards,touching,enjoy,2.34069845368,3.72723827821,3.89062240159,4.3245535445,4.34837028068,4.38835506422,4.43574804149,4.48526558478,4.55999940404,4.72296928157
by,alongside,studying,poorest,<,jeremy,``,exclude,involve,covers,manuel,2.06402047491,2.21674675255,2.40707946754,2.42680854774,2.51271035163,2.56026068534,2.57810208313,2.57889506574,2.58991128656,2.59492449266
with,“with,alongside,lacks,accepting,limiting,riot,covering,imposing,promoting,involving,1.62806822053,1.71469794457,1.7519184102,1.76467865252,1.84198473944,1.84705793927,1.89347135559,1.89555094535,1.91003037242,1.91436128959
”,’”,’,2015.,2009.,2016.,,when,``,year..,premier,2.26658753569,4.18073689196,4.48568161183,4.49657767332,4.65914742314,4.78685712752,4.81495962906,4.87498190201,4.88437751622,4.91406729455
from,alongside,versus,justify,involving,limiting,studying,delaying,exceeds,whopping,touching,2.37891134754,2.50447126544,2.54661450624,2.65246385034,2.67053548776,2.69370778409,2.71506839647,2.7154576126,2.72009094442,2.73519423393
it,said.it,said.that,said.“it,“it,clock,“that,cuba,them,baroin,dublin,2.27020996917,2.34482012956,2.36038236307,2.36309632508,2.60264175289,2.63351906924,2.69798955978,2.72020276841,2.72292496876,2.78448107113
be,been,was,were,financially,stays,weren’t,who’s,weighs,he’s,<,1.37771904698,1.91804124913,1.96976954558,2.0248335683,2.07401679065,2.0940125281,2.10244711267,2.1428581869,2.15700818685,2.22046421702
will,would,he’ll,“would,“will,“should,should,they’ll,can,we’d,could,1.85662005484,1.9150156252,2.02754527595,2.04760919385,2.11658214137,2.48277276694,2.51096396365,2.56943495403,2.60295245478,2.65101837706
are,is,been,were,they’re,“they’re,“are,she’s,be,aren’t,who’s,1.69958355788,1.87399270555,1.88317184202,1.88525945987,2.10698433162,2.14501006378,2.21875799169,2.30536367059,2.40628321638,2.42686206455
has,have,“have,“has,had,having,“we’ve,they’ve,you’ve,hasn’t,she’s,1.05309342297,1.55184881505,1.95705518026,2.08467257595,2.13460731987,2.23796807333,2.40378126629,2.55308717291,2.58925787778,2.77761895453
have,has,“have,having,“we’ve,“has,had,they’ve,you’ve,lacks,said.“it’s,1.05309342297,1.32299402018,1.95682560482,1.98243297321,2.02509568068,2.05254073297,2.23617329634,2.68369560077,2.71973278302,2.83837621337
its,their,department’s,harper’s,policymakers’,washington’s,beijing’s,athens’,state’s,america’s,berlin’s,1.37888618804,1.59618918052,1.61012435159,1.65317765989,1.71496609657,1.78806104811,1.82589318344,1.84805599708,1.8925803012,1.91639397516
was,were,been,is,be,he’s,she’s,proved,ticked,sounded,originally,1.31848694673,1.80282231681,1.90874485489,1.91804124913,1.9641862227,2.16169088438,2.20892146279,2.23399476342,2.24165437997,2.28664490141
